date,score,quality,size_cap
2026-08-10,2.4,DEGRADED,1
2026-08-11,2.55,DEGRADED,1
2026-08-12,1.95,DEGRADED,1
2026-08-13,4.3,OK,1
2026-08-14,4.3929,OK,1
2026-08-17,11.0744,OK,0.5
2026-08-18,6.0386,OK,1
2026-08-19,3.8639,OK,0.5
2026-08-20,11.3087,OK,1
2026-08-21,29.2628,OK,1
2026-08-24,42.85,OK,1
2026-08-25,2.3544,OK,1
2026-08-26,3.75,DEGRADED,1
2026-08-27,4.05,DEGRADED,1
2026-08-28,5.25,OK,0.5
2026-08-31,5.55,OK,1
2026-09-01,5.25,OK,1
2026-09-02,4.65,OK,1
2026-09-03,4.2,OK,0.5
2026-09-04,4.35,OK,1
2026-09-07,4.5,OK,1
2026-09-08,3.75,OK,0.5
2026-09-09,4.05,OK,0.5
2026-09-10,6.15,OK,1
2026-09-11,6,DEGRADED,1
2026-09-14,5.25,OK,1
2026-09-15,6.3,OK,0.5
2026-09-16,18.0484,OK,1
2026-09-17,5.55,OK,1
2026-09-18,6.9,OK,1
